Day,Word,Meaning
8,unanimously,만장일치로
8,meticulous,꼼꼼한
8,itinerary,여행 일정
8,keen,열망하는/예리한
8,cast,던지다/배역
8,voucher,쿠폰
8,expenditure,지출
8,reimbursement,상환
8,remnant,나머지
8,collaborate,협력하다
8,wing,날개/별관
8,alert,기민한/알리다
8,relevant,관련된
8,decline,거절하다/감소하다
8,excavation,발굴
8,urgent,긴급한
9,genuine,진짜의
9,inevitable,불가피한
9,postpone,연기하다
9,ingredient,재료
9,vessel,선박/용기
9,budget,예산
9,vacant,비어 있는
9,dense,밀집한
9,notable,주목할 만한
9,roughly,대략
9,emerging,떠오르는
9,demolish,철거하다
9,intimate,친밀한
9,workload,업무량
9,last-minute,막바지의
9,fundamental,근본적인
9,considerate,사려 깊은
9,hospitality,환대
9,destination,목적지
9,withdraw,철회하다/인출하다
9,in person,직접
9,route,경로
9,detour,우회
9,demand,요구하다
9,secure,확보하다/안전한
10,advanced,진보된/고급의
10,permanent,영구적인
10,original,원래의/독창적인
10,intricate,복잡한
10,obsolete,구식의
10,state-of-the-art,최첨단의
10,stunning,멋진
10,profound,심오한
10,rubbish,쓰레기
10,dwindle,줄어들다
10,appeal,매력/호소하다
10,vertical,수직의
10,horizon,지평선
10,ergonomic,인체공학적인
10,keynote,기조
10,resign,사임하다
10,refrain,삼가다
10,reflect,반영하다/반사하다
10,deteriorate,악화되다
10,rigorous,철저한
10,diploma,졸업장
10,qualification,자격
10,pharmacy,약국
10,outskirt,교외
10,waive,포기하다/면제하다
11,throughout,도처에/내내
11,quickly,빠르게
11,publicize,홍보하다
11,affect,영향을 미치다
11,party,당사자/일행
11,initial,초기의
11,guarantee,보장하다
11,pharmaceutical,제약의
11,medicine,약/의학
11,investigate,조사하다
11,reasonably,합리적으로
11,portion,부분
11,bid,입찰하다
11,forbid,금지하다
11,struggle,고군분투하다
11,scented,향기 나는
11,assistant,조수
11,troubleshooting,문제 해결
11,exceed,초과하다
11,via,경유하여
11,ownership,소유권
11,indefinitely,무기한으로
11,absolute,절대적인
11,complicated,복잡한
11,distinctive,독특한
12,chronic,만성적인
12,accountant,회계사
12,shortlist,최종 후보 명단
12,heritage,유산
12,fuel,연료
12,renewable,재생 가능한
12,customized,맞춤식의
12,ongoing,진행 중인
12,rare,드문
12,resume,재개하다
12,allegation,혐의
12,inclination,성향
12,persistence,고집/지속
12,valid,유효한
12,safety gear,안전 장비
12,forklift,지게차
12,criteria,기준
12,impact,영향
12,obtain,얻다
12,ignore,무시하다
12,affordable,저렴한
12,tolerate,참다
12,designated,지정된
12,grateful,감사하는
12,skilled,숙련된
13,pace,속도
13,dwell,거주하다
13,threaten,위협하다
13,tight,꽉 끼는
13,quote,견적/인용하다
13,ideal,이상적인
13,certificate,증명서
13,outline,개요를 서술하다
13,distribute,배포하다
13,mortgage,담보 대출
13,excessive,과도한
13,organization,조직
13,outgrow,더 커지다
13,inhibit,억제하다
13,improvise,즉흥적으로 하다
13,remedy,해결책/치료
13,diabetes,당뇨병
13,high-profile,세간의 이목을 끄는
13,lingering,오래 끄는
13,fair,공정한
13,injury,부상
13,bistro,작은 식당
13,celebrity,유명 인사
13,hinder,방해하다
13,impose,부과하다
14,regulation,규정
14,shorten,단축하다
14,sort,분류하다
14,insurance,보험
14,intermediate,중급의
14,exotic,이국적인
14,flood,홍수/범람하다
14,declaration,선언
14,withdraw,철회하다
14,administrative,행정의
14,amicable,우호적인
14,recurring,반복되는
14,cosmetic,화장품/미용의
14,prominent,저명한
14,trigger,유발하다
14,souvenir,기념품
14,wire,전선/송금하다
14,enclosed,동봉된
14,amenity,편의 시설
14,sip,홀짝이다
14,wind turbine,풍력 터빈
14,boast,자랑하다
14,retail,소매
14,payroll,급여
14,immaculate,티 없는
15,activate,활성화하다
15,archive,기록 보관소
15,generous,관대한
15,compensation,보상
15,expedite,신속히 처리하다
15,solicit,요청하다
15,prestigious,명망 있는
15,prolific,다작의
15,eligible,자격이 있는
15,attraction,명소/매력
15,intermittently,간헐적으로
15,furnishing,가구
15,courtesy,예의/무료의
15,carousel,수하물 컨베이어
15,opposite,반대편의
15,launch,출시하다
15,trim,다듬다
15,objective,목표/객관적인
15,assorted,다양한
15,knowledgeable,지식 있는
15,restriction,제한
15,authentic,진짜의
15,prepaid,선불의
15,acceptable,허용되는
15,scope,범위
16,rapidly,빠르게
16,decorative,장식용의
16,briefly,잠시
16,talented,재능 있는
16,perk,특전
16,thermometer,온도계
16,appliance,가전제품
16,suit,어울리다/정장
16,apologize,사과하다
16,associated,관련된
16,enormous,거대한
16,obvious,명백한
16,conceal,숨기다
16,dietary,식단의
16,preference,선호
16,ornament,장식품
16,down payment,계약금
16,devastate,황폐화시키다
16,enactment,법 제정
16,convene,소집하다
16,clearance,정리/허가
16,retreat,후퇴/야유회
16,expense,비용
16,closely,면밀히
16,handle,다루다
17,crate,나무 상자
17,vegetarian,채식주의자
17,majority,다수
17,faithful,충실한
17,negotiate,협상하다
17,exactly,정확히
17,heavily,몹시
17,symbolize,상징하다
17,strictly,엄격히
17,functional,기능적인
17,inventory,재고
17,productivity,생산성
17,restore,복구하다
17,sacrifice,희생
17,exclusive,독점적인
17,approval,승인
17,identify,확인하다
17,recognition,인정
17,friendly,친절한
17,risk,위험
17,authorization,허가
17,patient,환자/참을성 있는
17,intend,의도하다
17,include,포함하다
17,previous,이전의
18,release,출시하다/해방하다
18,circulate,순환하다
18,drawing,도면/그림
18,controversy,논란
18,evidence,증거
18,biodegradable,생분해성의
18,asset,자산
18,specific,구체적인
18,relative,상대적인/친척
18,garage,차고
18,cabin,객실/오두막
18,selection,선택
18,install,설치하다
18,reduction,감소
18,range,범위
18,despite,에도 불구하고
18,among,사이에
18,proudly,자랑스럽게
18,near,가까운
18,solid,고체의/단단한
18,statue,동상
18,transmit,전송하다
18,prolong,연장하다
18,abolish,폐지하다
18,committed,헌신적인
19,entitle,자격을 주다
19,fierce,격렬한
19,mark,표시하다/기념하다
19,solidify,굳히다
19,inspection,점검
19,interfere,방해하다
19,proceed,진행하다
19,prohibit,금지하다
19,offering,제공
19,arguably,거의 틀림없이
19,distribution,유통/분배
19,scenic,경치가 좋은
19,reluctant,꺼리는
19,skeptical,회의적인
19,subtle,미묘한
19,intensity,강도
19,duration,지속 기간
19,interval,간격
19,frequency,빈도
19,primary,주된
19,prior,이전의
19,acquire,인수하다/얻다
19,potential,잠재적인
19,estimate,견적/추정하다
19,circumstance,상황
20,generate,발생시키다
20,anticipate,예상하다
20,adequate,적절한
20,predict,예측하다
20,arbitrary,임의적인
20,advocate,지지하다
20,mandatory,의무적인
20,mute,무언의
20,ample,충분한
20,assess,평가하다
20,judge,판단하다/판사
20,appearance,외모/출현
20,ordinary,평범한
20,physical,신체의
20,lengthy,지루한/긴
20,essential,필수적인
20,disease,질병
20,agriculture,농업
20,confusion,혼란
20,rash,발진/경솔한
20,registration,등록
20,strategy,전략
20,enhance,향상시키다
20,constant,지속적인
20,encounter,마주치다
21,manipulate,조작하다
21,foster,육성하다
21,eliminate,제거하다
21,eradicate,박멸하다
21,extensive,광범위한
21,diner,식사하는 사람
21,turnout,참석자 수
21,adjourn,휴회하다
21,entire,전체의
21,narrow,좁은
21,broad,넓은
21,apprehensive,우려하는
21,commensurate,상응하는
21,prevalent,널리 퍼진
21,contemporary,현대의
21,dull,지루한
21,alleviate,완화하다
21,tedious,지루한
21,outdated,구식의
21,sharp,날카로운/정각에
21,reinforce,강화하다
21,ramp,경사로
21,employ,고용하다
21,correctly,정확하게
21,engagement,약속/참여
22,identical,동일한
22,definitely,분명히
22,historically,역사적으로
22,periodically,주기적으로
22,missing,분실된
22,scaffolding,비계(발판)
22,respectfully,정중하게
22,policy,정책
22,contact,연락하다
22,remain,남다/유지하다
22,sustain,지속하다
22,weekday,평일
22,follow,따르다
22,portrait,초상화
22,accountable,책임이 있는
22,vegetable,채소
22,harbor,항구
22,coordinate,조정하다
22,motivate,동기를 부여하다
22,found,설립하다
22,amend,수정하다
22,validate,입증하다
22,ventilation,환기
22,contaminate,오염시키다
22,deplete,고갈시키다
23,pesticide,살충제
23,emission,배출
23,synthetic,합성의
23,artificial,인공의
23,adopt,채택하다
23,anonymous,익명의
23,ambiguous,모호한
23,allocation,할당
23,acknowledge,인정하다
23,deep,깊은
23,responsible,책임이 있는
23,transaction,거래
23,gladly,기꺼이
23,draft,초안
23,finalize,마무리하다
23,tenant,세입자
23,raise,올리다/모으다
23,adapt,적응하다
23,following,다음의/~후에
23,cathedral,대성당
23,ambitious,야망 있는
23,outlet,매장/배출구
23,investment,투자
23,banquet,연회
23,outstanding,뛰어난/미지불된
24,weigh,무게를 재다
24,scale,규모/저울
24,terms,조건
24,regarding,에 관하여
24,including,포함하여
24,integrate,통합하다
24,seating,좌석
24,faulty,결함이 있는
24,possibly,아마도
24,await,기다리다
24,advisable,권할 만한
24,sophisticated,정교한/세련된
24,instant,즉각적인
24,appreciate,감사하다/진가를 알다
24,describe,묘사하다
24,superfluous,불필요한
24,shred,파쇄하다
24,nominee,후보자
24,spare,여분의
24,aim,목표하다
24,hustle,서두르다
24,contributor,기여자
24,deal,다루다/거래
24,behalf,이익/대표
24,lack,부족
25,description,설명
25,statement,성명서/명세서
25,compliance,준수
25,detailed,상세한
25,recent,최근의
25,expertise,전문 지식
25,reputation,평판
25,value,가치
25,loyalty,충성도
25,reference,참조/추천서
25,arrange,정리하다/배열하다
25,warranty,보증서
25,independent,독립적인
25,surplus,흑자/과잉
25,obstruct,방해하다
25,assign,배정하다
25,assure,장담하다
25,address,다루다/연설하다
25,effort,노력
25,questionnaire,설문지
25,regain,되찾다
25,fulfill,이행하다
25,subscription,구독
25,process,과정
25,coverage,보도/범위
26,remind,상기시키다
26,obligation,의무
26,revoke,취소하다
26,sensitive,민감한
26,perceive,인지하다
26,descend,내려가다
26,modest,겸손한/적당한
26,adjust,조절하다
26,appealing,매력적인
26,sizable,상당한
26,tie,묶다/유대
26,steep,가파른
26,subsequent,그 후의
26,numerous,수많은
26,conserve,보존하다
26,outgoing,외향적인
26,status,지위/상태
26,profitable,수익성 있는
26,expect,기대하다
26,different,다른
26,temperature,온도
26,orderly,정돈된
26,leisurely,여유로운
26,delicate,섬세한
26,growth,성장
27,intentional,의도적인
27,enlist,요청하다/입대하다
27,articulate,분명히 말하다
27,unprecedented,전례 없는
27,patronage,후원
27,establish,설립하다
27,affluent,부유한
27,automatically,자동으로
27,populate,거주하다
27,adverse,불리한
27,understaffed,일손이 부족한
27,halt,중단하다
27,routine,일상
27,approach,접근하다
27,rather,꽤/오히려
27,elect,선출하다
27,broadcast,방송하다
27,ahead,앞서서
27,otherwise,그렇지 않으면
27,allege,주장하다
27,fluent,유창한
27,consume,소비하다
27,marginal,미미한
27,industrial,산업의
27,comparable,비슷한
28,successive,연속적인
28,responsive,반응하는
28,entry,입장/참가
28,produce,생산하다/농산물
28,grant,승인하다/보조금
28,retain,유지하다
28,mature,성숙한
28,delete,삭제하다
28,remark,언급
28,overstate,과장하다
28,impulsive,충동적인
28,impartial,공정한
28,scheme,계획/제도
28,ethic,윤리
28,instrumental,중요한/도움이 되는
28,harsh,가혹한
28,costly,비싼
28,merchant,상인
28,audiovisual,시청각의
28,edible,먹을 수 있는
28,risky,위험한
28,discard,버리다
28,rigid,엄격한
28,enroll,등록하다
28,rewarding,보람 있는
29,debate,토론하다
29,surpass,능가하다
29,insert,삽입하다
29,tricky,까다로운
29,dozen,다스(12개)
29,march,행진하다
29,withstand,견디다
29,offset,상쇄하다
29,revenue,수익
29,retention,유지/보유
29,consolidate,통합하다
29,diagnosis,진단
29,punish,처벌하다
29,culminate,절정에 달하다
29,attorney,변호사
29,fabric,직물
29,savvy,요령 있는
29,barter,물물교환하다
29,catastrophe,대참사
29,abandon,버리다
29,decompose,분해되다
29,resource,자원
29,means,수단
29,persuade,설득하다
29,solely,오로지
30,flair,재능
30,reap,거두다
30,accumulate,축적하다
30,fleet,함대/선단
30,obscure,모호한
30,manifest,나타내다
30,entail,수반하다
30,staple,주요한
30,furnished,가구가 비치된
30,serving,1인분
30,scarcity,부족
30,transferable,양도 가능한
30,mundane,일상적인
30,elaborate,정교한
30,conceive,상상하다
30,deficit,적자
30,monetary,화폐의
30,energetic,활동적인
30,vibrant,활기찬
30,proliferation,확산
30,savory,맛좋은
30,fluctuate,변동하다
30,probable,개연성 있는
30,breakthrough,돌파구
30,surge,급증하다
